========================================================================================================================
  ⚡ ABAKE USE ENGINE — FULL 2025/2026 SEASON BACKTESTING (V11)
  ⚡ MARKET-IMPLIED MODEL: Model Total & Spread from Market Closing Lines
========================================================================================================================

  Version: 11.0.0 | Timestamp: 2026-08-02T17:48:27.835166

  V11 REFORMULATED LAYER 1 (Market-Implied Model):
  ─────────────────────────────────────────────────
  Model Total  = Market Closing Total   (best estimate of game total)
  Model Spread = Market Closing Spread   (best estimate of point spread)
  Pick Direction = Layer 1 Edge Signal:
    Edge = Layer 1 Computed Total - Market Total
    If Edge > 0 → OVER  (model thinks more points than market)
    If Edge ≤ 0 → UNDER (model thinks fewer points than market)

  Layers 2 & 3: UNCHANGED from ABAKE USE spec
  Rules 1-4:    UNCHANGED from ABAKE USE spec

  ✅ ALL game scores are REAL from Covers.com
  ✅ ALL closing lines are REAL from Covers.com (Vegas closing lines)
  ✅ NO fabricated data. NO random scores. NO synthetic market lines.
  ✅ NO user model data required — engine derives Model Total/Spread itself

  League Constants:
    WNBA:  Pace=80.2, Eff=102.5 | NBA: Pace=100.4, Eff=113.5 | Summer: Pace=84.5, Eff=98.2
  HCA: 2.5 | Over Cushion: 0.45 | Under Ceiling: 0.40 | Upset Threshold: 15.0%

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  📊 40-GAME SPEC VERIFICATION
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  ✅ PASSED — 40-Game Spec: 33 HITs, 5 MISSes, 2 Skips → 86.8%

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  📊 BUILDING WNBA 2026 GAMES — V11 MARKET-IMPLIED MODEL
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  📊 Total WNBA 2026 games: 217
     Model Total = Market Closing Total (from Covers.com)
     Model Spread = Market Closing Spread (from Covers.com)
     Pick Direction = Layer 1 Edge Signal (computed vs market)

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  📊 BUILDING NBA 2025-26 GAMES — V11 MARKET-IMPLIED MODEL
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  📊 Total NBA 2025-26 games: 34

========================================================================================================================
  ⚡ ABAKE USE V11 BACKTEST — WNBA 2026 (MARKET-IMPLIED MODEL)
========================================================================================================================

  📋 Total Games:              217
  🎯 Active Bets:              175
  ⚠️  System Skips:             42
    • Upset Clause:             41
    • Chaos Exemption:          1

  ✅ HITs:                     102
  ❌ MISSes:                   73
  🏆 Win Rate:                 58.3%

  Category       Hits Misses Active   Win Rate
  ──────────── ────── ────── ────── ──────────
  OVER             60     28     88      68.2%
  UNDER            42     45     87      48.3%

  📊 ALL WNBA 2026 GAMES — V11 MARKET-IMPLIED MODEL
    # Date     Matchup            Pick     MktTotal   MktSprd   UDOG  🎯 ScaledLine  Score  L1Edge Result 
  ─── ──────── ────────────────── ─────── ───────── ───────── ────── ───────────── ────── ─────── ───────
    1 May 8    WSH vs TOR         OVER        160.5       1.5    WSH        78.825     68    4.4 ❌ MISS
    2 May 8    CON vs NY          OVER        160.0      15.5    CON        65.275     75    1.2 ✅ HIT
    3 May 8    GS vs SEA          OVER        156.5       5.5    SEA        73.025     80    8.7 ✅ HIT
    4 May 9    DAL vs IND         UNDER       179.0       5.5    DAL        88.950    107   -2.7 ❌ MISS
    5 May 9    PHX vs LV          OVER        168.5       9.5    PHX        75.225     99   10.4 ✅ HIT
    6 May 9    ATL vs MIN         OVER        160.5       5.5    ATL        75.025     91    5.5 ✅ HIT
    7 May 9    CHI vs POR         OVER        163.5       5.5    POR        76.525     83    7.7 ✅ HIT
    9 May 10   NY vs WSH          OVER        165.0       5.5    WSH        77.275     93    4.4 ✅ HIT
   11 May 10   PHX vs GS          OVER        157.5       2.5    PHX        76.375     79   12.6 ✅ HIT
   13 May 12   NY vs POR          OVER        173.5      12.5    POR        74.875     98    1.9 ✅ HIT
   14 May 12   MIN vs PHX         OVER        167.0       4.5    PHX        79.225     84    1.7 ✅ HIT
   16 May 13   LV vs CON          UNDER       172.0      14.5    CON        84.550     69   -6.4 ✅ HIT
   17 May 13   CHI vs GS          UNDER       166.5       5.5     GS        82.700     63   -0.6 ✅ HIT
   20 May 14   NY vs POR          OVER        175.0      11.5    POR        76.575     82    0.4 ✅ HIT
   21 May 15   WSH vs IND         OVER        170.0       8.5    WSH        76.925    104    0.7 ✅ HIT
   22 May 15   LV vs CON          UNDER       172.5      15.5    CON        84.700     94   -6.9 ❌ MISS
   23 May 15   CHI vs PHX         OVER        165.5       4.0    CHI        78.950     83    5.2 ✅ HIT
   24 May 15   TOR vs LA          UNDER       170.0       7.5    TOR        84.250     95   -4.2 ❌ MISS
   25 May 17   LV vs ATL          OVER        171.5       3.5     LV        82.425     85    4.7 ✅ HIT
   26 May 17   SEA vs IND         UNDER       176.5      11.5    SEA        87.100     78   -5.8 ✅ HIT
   27 May 17   CHI vs MIN         UNDER       165.5       5.5    MIN        82.200     79   -0.9 ✅ HIT
   28 May 17   TOR vs LA          UNDER       174.5       7.5    TOR        86.500    106   -8.7 ❌ MISS
   29 May 18   WSH vs DAL         OVER        170.0       3.5    WSH        81.675     69    0.3 ❌ MISS
   31 May 19   TOR vs PHX         OVER        169.5       7.5    TOR        77.625     98    0.4 ✅ HIT
   33 May 20   DAL vs CHI         OVER        170.0       2.5    CHI        82.625     89    1.0 ✅ HIT
   35 May 21   GS vs NY           OVER        169.0       5.5     GS        79.275     87    0.1 ✅ HIT
   36 May 21   TOR vs MIN         UNDER       173.0       5.5    TOR        85.950     72   -9.1 ✅ HIT
   38 May 22   GS vs IND          OVER        167.5       5.5     GS        78.525     82    3.2 ✅ HIT
   39 May 22   DAL vs ATL         UNDER       174.0       5.5    DAL        86.450     69   -1.4 ✅ HIT
